localizacao;descricao;dataDeAquisicao;departamento;observacoes
SETOR N 1;REA DE TERRAS DESTINADAS P/LIGAO NO SENTIDO LESTE  ENTRE A AV.LIBERDADE E MAXIMILIANO MARINO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 18.138
SETOR N 1;REA DE TERRAS DESTINADAS P/LIGAO NO SENTIDO LESTE OESTE AS AV.LIBERDADE E MAXIMILIANO MARINO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 18.139
SETOR N 1;REA INSTITUCIONAL NO BAIRRO MEDIANEIRA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 21.326 at 21.331
SETOR N 1;RES DE TERRAS DESTINADAS P/PROLONGAMENTOS SUL DA RUA PROFESSORA ZULMIRA B.COUTINHO(COHAB VERA CRUZ);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n18.140
SETOR N 1;ARROIO REGALADO REA ATRS DA COHAB RESTINGA MATRCULA 135;09/12/1976;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;MATRCULA 135- REA ATRS DA COHAB RESTINGA
SETOR N 1;CTG LANCEIROS DE CANABARRO COMODATO LEI 1638/85;31/12/1985;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;SOMENTE CPIA DA Lei 1638/85 QUE AUTORIZOU O COMODATO
SETOR N 1;DESAPROPRIAES DE REAS NO REGALADO;21/05/2013;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;DECRETOS DE N 255  285 DE 21 DE MAIO DE 2013- DECLAROU REA DE UTILIDADE PBLICA
SETOR N 1;LOTEAMENTO VILA KENNEDY;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 5.217
SETOR N 1;PRAA  PERTO DO RESTAURANTE DO SALSO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 327
SETOR N 1;PRAA BEBEDOURO;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 21.87521.876
SETOR N 1;PRAA MASCARENHAS DA MORAIS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 14.210
SETOR N 1;TERRENO NA RUA MAJOR JOO CEZIMBRA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 14.210
SETOR N 1;TERRENO NA VILA VERA CRUZ;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 1;TERRENO NA VILA VERA CRUZ(ESCOLA FARROUPILHA);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n3.503
SETOR N 1;TERRENO NA WALT DISNEY;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 7.935
SETOR N 11;VILA EMLIO ZUNEDA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n8.4508.4478.4438.4378.4108.403
SETOR N 11;CEBEM VILA PIOLA EMEI MENINO DEUS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 11;MITRA DIOCESANA- PARQUI NOSSA SRA.IMACULADA CONCEIO APARECIDA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;matr.n16.997
SETOR N 11;POSTO MDICO DA VILA PIOLA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 17.002
SETOR N 11;TERRENO NA RUA PEDRO CARNEIRO DOADO P/QUADRA DE ESPORES DA ESCOLA JOS  NTONIO VILA VERDE;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta c/certido n 14.612
SETOR N 11;LOTEAMENTO REIDENCIAL VILA PIOLA;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n16.790
SETOR N 11;TERRENO NOBALNERIO CAVER(DOADOS EM CAUO AO MUNICIPIO);11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 7.119 at 7.134 e 8.712 at 8.713
SETOR N 11;REA DA BRITADEIRA DO CAVER MAT 25860;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;c/planta matr.25860
SETOR N 11;ARQUIVO HISTRICO MUNICIPAL;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;(sem documentao)
SETOR N 11;PARQUE DE MQUINAS;11/11/1111;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;s/planta c/certido n 5.289
