ÀREA DO ANTIGO AEROPORTO
EMEB ALCY VARGAS CHEUICHE-TERRENO MATRÍCULA 24.086;13/11/2003;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Terreno localizado na zona urbana,lindeiro ao loteamento bairro José de Abreu, designado pela leytra A da plant.a, de formato irregular, com área de 9151,00 mq., com as seguintes medidas e confrontações: 128m50 ao Norte, confronte atualmente, com imóvel de propriedade de Horst Werner Loebler e terezinha Bolson Albuquerque; 118m00 ao sul e 78m50 ao Leste, onde em ambas as faces, confrontam atualmente com imóvel de propriedade de LeidnezCaferatti Hoher; 70m00 ao Oeste, confronta atualmente com o loteamento Bairro José de Abreu de propriedade do município de alegrete.Funciona atualmente a EMEB Alcy Vargas Cheuiche-TERRENO ESCRITURA 20.264.045
1 imóveis(s) na divisão BAIRROS JOSÉ DE ABREU

CAPÃO DO ANGICO
TERRENO MATRÍCULA 25817;16/11/2007;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Terreno urbano, situado na Vila Capão do Angico, localizado no quarteirão formado ao norte, Av. Timbaúva, ao sul com a Av. Tiarajú, ao leste com área verde da Prefeitura Municipal de Alegrete, ao oeste com a rua Açucena, situado ao lado par da numeração da Av. Timbaúva, distante 90m00 da esquina com a Rua Açucena, de formato irregulardesignado pelo nº 11, com a área superficial de 322.50m², matrícula nº25.817.
1 imóveis(s) na divisão CAPÃO DO ANGICO

CATIMBAU-6º SUBDISTRITO
ESCOLA RURAL ABILIO PRATES(BARRAGEM);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL ANTENOR ALMEIDA(CAVERÁ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL DELFINO BITENCOURT(CATIMBAU);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL JOSÉ ALVES FILHO (PASSOS DOS BRITES);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
4 imóveis(s) na divisão CATIMBAU-6º SUBDISTRITO

DURASNAL-3º SUBDISTRITO
ECOLA RURAL JOÃO DORVAL DE ALMEIDA(DURASNAL PASSO DO FERMINO);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA DELFINO ANTUNES DA SILVA(DURASNAL) LAGEADO GRANDE);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL BRANDINARTE ANTUNES(PAROVÉ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL DARCIANO MACHADO(CONTRATO DE  COMODATO P/ASSOCIAÇÃO DE MORADORES DO DURASNAL);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL DAVID CANABARRO(QUERIMANA);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL ISRAEL PINTO DE ALMEIDA(QUEROMANA);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL JACINTO  ANTÔNIO(PAVORÉ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL MARCIAL ESTIVALET(LAGEADO GRANDE);11/11/1111;CADASTRO IMÓVEIS RURAIS;
ESCOLA RURAL NAPOLEÃO FERNANDES(DURASNAL);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL OLAVO BILAC-VENDIDA AO SR.FRANCISCO CARLOS DORNELES  PEDROSO(ITAPEVI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA SEPÉ TIARAJÚ(ITAPEVI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
11 imóveis(s) na divisão DURASNAL-3º SUBDISTRITO

ESCOLAS URBANAS
COLÉGIO PROFISSIONAL NEYTA RAMOS;11/11/1111;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;c/planta s/certidão
